Subject ID,feature value,Dataset
1027917,-0.038905844,train
4338490,0.10433636,train
1755324,-0.13415712,train
4933868,0.04695904,train
3577477,0.120317705,train
5248303,0.05640106,train
2326456,-0.013573113,train
1413379,-0.07276628,train
3788131,0.037986834,train
3673279,0.04611991,train
3766960,0.016181778,train
5734766,0.12330494,train
4419150,0.0853325,train
2424256,-0.0012423676,train
5178350,0.021179425,train
4061045,0.067433596,train
4858678,0.102424845,train
1606426,0.10151424,train
2007318,-0.1515587,train
2315626,0.081047215,train
2578057,0.03694009,train
1648517,-0.11410948,train
3834864,0.08304415,train
3557770,0.029356223,train
2162537,0.10635108,train
1310868,-0.1515587,train
4617115,0.045507066,train
5120901,0.043444138,train
1531488,-0.057989005,train
5017757,-0.1515587,train
4498287,0.06600756,train
2296002,0.08087595,train
2736267,-0.1298027,train
5526916,0.14330323,train
3072075,0.073743224,train
4651406,0.09088776,train
3061950,-0.027121894,train
4301762,-0.023352787,train
5710975,0.12359682,train
1049293,0.048668418,train
2301124,0.0027991638,train
3205484,0.09855314,train
2964023,0.019941173,train
3755369,0.023263542,train
3237052,0.14226647,train
3310938,0.016949486,train
5486277,-0.10425954,train
4947971,0.1366576,train
5444880,-0.021413708,train
4620572,-0.09433002,train
1733134,0.10339669,train
2622234,0.09508164,train
5554487,0.044699017,train
3631310,0.047993705,train
2918251,-0.06579638,train
3719994,0.030014921,train
3594589,0.12374278,train
5225200,-0.071307056,train
4384064,-0.011875209,train
4624905,0.04270729,train
3827775,-0.1515587,train
3021673,0.1607996,train
4463209,0.090393454,train
1958770,-0.026448127,train
2877287,0.020396627,train
1294336,0.06637482,train
5257680,0.14411063,train
1607140,-0.05620519,train
4977084,0.024336802,train
2159050,0.071725555,train
4245711,0.07450248,train
4953120,0.039617434,train
1734966,0.099529594,train
2605945,0.06845792,train
2528509,-0.056710962,train
1775921,0.123373695,train
1521485,-0.0680938,train
5779951,0.07800281,train
1498465,0.006175972,train
1121097,0.030816738,train
5047737,0.069243,train
2971602,0.0034803727,train
1780375,-0.1515587,train
4469108,-0.13637964,train
2207665,0.07746331,train
1277667,0.11250921,train
3119868,-0.04606042,train
1806466,-0.13850853,train
1172898,-0.12629908,train
2257730,-0.0050196946,train
4915685,0.06307842,train
4547322,0.1016975,train
3087999,0.083861604,train
5207690,0.10250838,train
1539970,-0.1515587,train
3355539,0.12437645,train
2910412,0.09081008,train
4498846,0.114422455,train
4076626,0.069111496,train
5505303,0.10166246,train
3201942,0.11403091,train
4167493,0.094951585,train
4372391,0.14053991,train
3771461,0.12240277,train
3951787,0.09562324,train
1838831,0.05531235,train
5345510,0.06366283,train
1581427,0.024780393,train
4600274,0.014934105,train
4539097,0.0944527,train
1724904,0.021976579,train
5643574,0.052090816,train
2389384,-0.13564777,train
2205299,0.0884017,train
3618868,-0.14658858,train
5561099,-0.14782487,train
3520000,0.16160777,train
3449166,-0.1515587,train
4861487,0.16298902,train
3379234,0.0050821546,train
5191757,-0.14819434,train
5185377,-0.12594236,train
2014296,-0.1515587,train
3980864,0.08348918,train
4304573,0.098489285,train
2651902,-0.05441062,train
5409572,0.10579411,train
2612618,-0.018604824,train
4474414,-0.10044684,train
1218594,0.075979315,train
3608068,0.121543504,train
3908548,0.08537606,train
4965969,-0.1506056,train
5189808,-0.14249134,train
5141453,0.11000274,train
3172909,-0.038326085,train
2102559,0.03759827,train
1647075,0.09199276,train
4680554,-0.14770652,train
5880279,0.097022556,train
3863079,-0.13466187,train
2743923,0.11016191,train
2464490,0.122094356,train
5086871,0.017519314,train
4815099,0.008078447,train
1938153,0.018948724,train
3575372,0.09385013,train
5783527,0.110526,train
5801672,-0.087954745,train
4157050,-0.028226905,train
3469433,-0.1515587,train
2429633,0.10940972,train
4259002,-0.06198209,train
1243575,-0.15094519,train
2798855,-0.024664065,train
1250199,-0.12504561,train
4611678,0.17612754,train
2385216,0.009528967,train
1131908,-0.008470036,train
2332864,-0.09552455,train
4278223,-0.044457372,train
1470847,0.09528928,train
3930896,-0.042880267,train
5517893,0.027399028,train
3623794,-0.15152706,train
3095153,-0.1515587,train
2725531,0.1382657,train
3386356,0.14893378,train
5471093,-0.1515587,train
3812551,0.09250043,train
2783136,-0.11138272,train
4441562,0.0003621473,train
1603957,0.0846295,train
5532283,0.102595374,train
1020857,0.024630453,train
5167337,-0.0089964075,train
2176358,0.1165965,train
1357008,0.11725996,train
2042589,0.052612145,train
4618673,0.005395395,train
3127887,0.06629708,train
4215636,0.038996242,train
4393648,-0.09388081,train
3783545,0.09599292,train
1802283,0.06940424,train
2942338,-0.14330837,train
3193081,0.122389115,train
4609115,0.094546124,train
5478134,0.068041645,train
2092171,0.06220885,train
2625675,0.053405445,train
1937206,-0.037465896,train
2507220,-0.041291375,train
4372156,0.12021432,train
1352416,-0.079162806,train
1745191,0.0129139135,train
4616212,0.07811216,train
5730484,0.023710528,train
4856930,-0.10110591,train
4504998,0.062387135,train
3104173,0.12505382,train
1276873,-0.029842053,train
1374740,0.0479361,train
1655522,0.0012428457,train
2413297,0.09865947,train
4787391,-0.10089565,train
4122119,-0.010271329,train
3464684,0.03336525,train
5722851,-0.068258815,train
4336743,0.02241278,train
3018322,0.05131814,train
5399174,-0.015113172,train
1985988,0.037858307,train
1486340,0.08634492,train
2379388,-0.15019682,train
1883392,-0.0828852,train
2093574,0.06790486,train
3732986,-0.002196144,train
1927513,0.08630693,train
5719144,0.052810784,train
3877308,0.03658828,train
5777735,0.11975824,train
4491101,0.059717678,train
2132066,0.050030272,train
5479203,0.12819135,train
3287654,0.06566877,train
4825990,0.14456631,train
5243717,-0.025623804,train
2147085,0.1254333,train
2977859,0.0970259,train
3337297,0.11183546,train
5051266,0.010353481,train
4915342,-0.015184669,train
4175360,-0.1515587,train
2138708,0.08835519,train
4089928,0.058832455,train
5016834,0.01297927,train
2259503,0.065814234,train
1088674,-0.11830804,train
5297096,-0.14960599,train
1980445,-0.05838962,train
4830515,0.070097856,train
3263749,-0.1515587,train
2310576,0.025211807,train
2293087,0.025312243,train
1600075,0.06616158,train
2229217,-0.028340671,train
3448615,0.06921873,train
1477688,-0.115448415,train
1463022,-0.1515587,train
1454643,-0.09460926,train
5167689,-0.13909402,train
2276004,0.08099181,train
4116416,0.025656158,train
5854944,0.021497106,train
2141546,-0.099333435,train
5004274,0.04034087,train
4246838,0.14779167,train
1728559,0.10965996,train
1687422,-0.15155257,train
4124864,0.017341197,train
5465276,0.06819516,train
3170179,0.11961673,train
2229320,0.10830023,train
4627782,0.046753947,train
3013617,0.039935462,train
5271422,0.13580187,train
1071900,0.09090352,train
1249913,-0.14522468,train
1961863,0.08349434,train
2705702,0.12742266,train
2161641,-0.07836805,train
5651124,-0.06257545,train
5683529,0.07504602,train
4710192,-0.04448296,train
5204702,-0.12644984,train
4433599,0.07379472,train
1229252,0.12702517,train
3058027,0.022849198,train
1571157,0.121361,train
1519839,0.08099638,train
4875673,0.088416904,train
5206548,-0.016921686,train
4266642,0.13104756,train
2067811,0.11683662,train
5794795,0.017211506,train
1935553,-0.08999735,train
4758313,-0.14062293,train
1904233,0.07774717,train
5473341,-0.1515587,train
3743263,-0.016183343,train
2161524,-0.15125023,train
4371365,0.052875552,train
3126764,0.06042659,train
1963780,0.10277538,train
5486556,0.022116946,train
4048295,0.12593375,train
3316305,-0.1515587,train
1716444,0.17138432,train
1451429,0.13400987,train
1375434,0.0441452,train
1319714,-0.080477476,train
5334951,0.014179308,train
5352460,0.17247522,train
5527251,0.08698426,train
5449686,-0.11421713,train
5360825,-0.006851589,train
4469287,-0.13696803,train
5064752,0.10352108,train
4117668,0.11387057,train
4196849,-0.031563137,train
2926123,0.01693178,train
3798143,-0.06478554,train
4720575,0.17799231,train
3112950,0.16049932,train
1521194,0.016567271,train
5203076,0.08399154,train
3831701,0.0812198,train
2773467,-0.005442604,train
2913547,-0.09413887,train
1351954,0.018958982,train
3853873,-0.053035464,train
5850488,0.0704601,train
5136646,-0.039100703,train
2142168,-0.15144223,train
1322135,0.07200339,train
1045284,0.02878203,train
4720604,0.10738465,train
4195066,-0.08649809,train
3497643,0.0031693347,train
5400945,0.075601906,train
2776091,-0.09619133,train
3144159,-0.0047933394,train
5424768,0.07215493,train
1584555,-0.062253524,train
3139173,0.06879272,train
5189723,0.11898711,train
5739713,0.09599176,train
4831252,-0.0898321,train
4316628,0.04008972,train
1339222,0.13370131,train
1965227,0.002418936,train
3615857,0.1810709,train
1118443,-0.0953,train
2626797,0.1336726,train
1957929,0.18242554,train
1566283,-0.1515587,train
2909080,0.0069563617,train
1578590,-0.06723828,train
3670322,-0.03586141,train
3793659,0.08816012,train
3378030,0.12878509,train
1850640,-0.031214131,train
1425819,-0.005349365,train
5308544,0.08407891,train
3473794,0.09444616,train
4019069,0.051400296,train
4873742,0.14112127,train
3059801,0.0010281493,train
4872469,0.042841874,train
3898980,-0.1515587,train
5833991,0.09394277,train
4113363,0.072807536,train
2710395,0.10151781,train
5568204,-0.020124454,train
3704612,0.03459307,train
4491922,-0.054526433,train
1226694,-0.037084963,train
5327640,0.07014513,train
4269696,0.103632145,train
5058320,0.059153616,train
5192304,0.09169388,train
4576784,-0.07399548,train
5613300,-0.044253826,train
4163907,-0.09989894,train
3990286,0.12352984,train
3583635,-0.06505244,train
5654415,0.08687836,train
4303911,0.071603,train
5243562,0.16373453,train
3292014,0.09997445,train
3659061,0.13776648,train
3148093,0.06929325,train
3916868,-0.0140903015,train
2283207,0.13890634,train
4941600,-0.1515587,train
3856026,-0.1512527,train
4588154,-0.04714662,train
1602716,0.046284642,train
1409774,-0.1515587,train
2220075,0.005210984,train
2916911,0.10091612,train
1790815,-0.1514074,train
3380368,0.08589069,train
3536958,-0.001557577,train
2917013,0.071172975,train
4319059,-0.06681607,train
2189950,0.0384169,train
1372474,0.13683887,train
2018309,-0.14957635,train
1763872,0.09803135,train
5173544,0.08018406,train
1440699,0.12816268,train
2873225,-0.052993283,train
4780262,-0.09300181,train
1824354,-0.14774528,train
3489403,0.11888943,train
4655338,-0.1514098,train
4280543,0.059674107,train
4333855,0.045300912,train
4176389,0.05351716,train
3376599,0.07321251,train
3557696,0.10290093,train
2332084,0.048382964,train
1778013,0.13645574,train
1695291,0.064533405,train
4989657,0.055310074,train
2899874,0.08410794,train
3250110,0.109750465,train
2319325,0.014288002,train
4655057,0.12423249,train
1293115,0.11433297,train
3739446,-0.017653309,train
4991593,0.042938005,train
2873585,-0.14072524,train
1571700,0.10190098,train
3718886,-0.14278027,train
2513733,0.11437027,train
2106170,0.08786465,train
3442976,0.00964756,train
4921205,0.09814703,train
1492486,-0.1515587,train
4820947,-0.012182704,train
3415785,0.0847025,train
3462637,0.10893705,train
3823430,0.123029776,train
3040760,0.15004364,train
2909778,-0.122523636,train
2339429,0.11169269,train
2039344,0.04370806,train
3636998,-0.06057502,train
1742802,-0.07024211,train
4738982,0.003816462,train
3349229,0.12127225,train
5825258,0.11156365,train
3520745,0.03659483,train
2654942,0.17695282,train
3980187,0.09140193,train
2804790,0.0713893,train
5246847,0.045658574,train
5347464,0.037694912,train
1362699,0.09656834,train
2859401,0.10990697,train
4192616,0.06406534,train
2411035,0.0318687,train
5716404,-0.017038062,train
2034689,0.01303646,train
2935797,-0.1515587,train
5459086,0.08701881,train
5829759,0.14283024,train
1715926,-0.1515587,train
4296668,-0.084659256,train
1587713,0.11438493,train
4403038,0.031513777,train
3551030,-0.026853994,train
5613259,0.085427105,train
1850739,0.10289717,train
1822942,0.12163082,train
3139979,0.05967312,train
4967953,0.12049592,train
3717872,0.13013852,train
1299274,0.08500371,train
4604006,-0.03761487,train
3592901,0.027283007,train
1104473,0.090439975,train
3704545,-0.068009265,train
5751425,0.07107411,train
3181609,-0.012968348,train
4750736,0.06924719,train
3847786,0.054945003,train
3610617,0.0067925663,train
2300012,0.18110752,train
1450080,0.019074436,train
2518953,0.13132407,train
3896685,-0.025056014,train
1269796,-0.14282158,train
4461089,0.007877055,train
2135284,0.080923185,train
2922912,0.08037684,train
2284888,-0.13293019,train
2737751,-0.1515587,train
5776469,0.09302348,train
2238424,0.014545902,train
2926603,-0.11439954,train
5841809,0.06506526,train
1316162,-0.03688295,train
1870370,0.13975818,train
1121150,-0.03296554,train
1777859,-0.14417905,train
4727640,0.03990996,train
2741933,-0.06652722,train
5755244,0.11225898,train
5787473,0.14711882,train
4606282,0.07462163,train
1533586,0.091803126,train
2571226,0.1117451,train
3133024,0.053789273,train
3412065,0.024998106,train
2586850,-0.13179341,train
1848551,0.07159188,train
1089119,-0.07631024,train
5278010,0.10224315,train
1493098,0.17711182,train
1586820,0.04513445,train
4515906,0.08938482,train
5523651,-0.0050503546,train
1095520,-0.112290815,train
3115982,0.13536756,train
5518896,0.13657802,train
3582684,0.054413382,train
1652363,0.06999022,train
3714714,-0.030307652,train
4770181,0.010264977,train
3200310,0.053342946,train
