Subject ID,pca1,pca2,pca3,Dataset
4020673,2.1321337,1.7680696,-2.1260755,21015
5083845,3.0209641,2.0845711,-1.2157815,21015
5982005,-3.5001223,-1.0034158,-0.17865759,21015
4845817,1.4822415,3.943311,-2.135107,21015
2558236,-1.2440362,3.7224264,2.4701238,21015
4579274,-3.5001223,-1.0034158,-0.17865759,21015
5599616,3.5078192,-0.059253443,0.72520316,21015
1398279,2.5634103,3.91197,-5.1533265,21015
5972919,-2.8025289,-0.6806987,-0.0708989,21015
5117869,-0.99825865,-1.323638,-0.042952586,21015
3798293,-0.085123025,1.1231412,-0.73447996,21015
5956314,1.2145535,-0.8555964,0.83064973,21015
1918336,-3.1564753,2.3354995,-0.115589686,21015
2539916,2.6938887,1.6679643,-1.6335145,21015
1895187,-0.78302556,1.8792228,-0.44413903,21015
5817327,1.4440577,3.5808682,4.192531,21015
1158953,-3.5001223,-1.0034158,-0.17865759,21015
2626224,-1.8048869,-1.8066834,-1.2690167,21015
4842060,-0.6373501,1.1737319,-1.4310739,21015
3934902,-3.4243047,-0.9729104,-0.10300167,21015
1127899,-2.9927073,-0.8438181,1.1238172,21015
2194513,-2.5973508,-0.041514732,-0.39904338,21015
4959598,-3.6267397,-0.9139866,-0.11304202,21015
4392428,0.029002376,4.119159,1.8475223,21015
6012470,-1.1767507,-1.199644,-0.5587637,21015
1515564,5.0175447,5.046289,-4.0661016,21015
3060655,2.427502,3.436299,-4.154913,21015
3006714,0.46809888,4.28399,0.40462473,21015
5223688,-0.7851148,3.1078746,-1.8927662,21015
5002357,0.40579602,-3.5486631,-0.3468645,21015
2656324,-1.7967626,-2.3308735,-1.215604,21015
4133634,-3.465541,-0.99099874,-0.14076197,21015
5100624,-3.5001223,-1.0034158,-0.17865759,21015
1934186,4.1668406,2.3441806,-2.3227363,21015
1476423,0.060543366,2.5251532,-0.040190518,21015
3011992,-2.002053,-1.006438,1.5961324,21015
4030049,3.4579346,3.7661858,-1.5591018,21015
4462853,-3.4357173,-0.9975353,0.08899742,21015
4188008,0.71824354,2.7367034,0.14017686,21015
4757875,-1.6865097,1.2703347,2.6619558,21015
1847924,3.3884208,7.2005577,-1.0654765,21015
3674930,-1.1546917,0.12700056,1.831729,21015
3753540,0.51158005,0.87274,-1.3784311,21015
1925994,-3.6011055,1.2178526,0.21917592,21015
6013885,2.399019,-1.8982248,-0.9985508,21015
3054850,4.208513,-2.3816931,-0.36609992,21015
2640157,-3.0567718,-1.0837104,0.29682192,21015
3771936,5.14589,0.12739716,0.6903583,21015
2693733,-1.3773414,4.0486927,0.43035823,21015
4064976,-1.8003964,-1.6176187,0.47435802,21015
1515889,7.8529186,-2.1861024,0.8988488,21015
1461748,-1.5515075,-1.6329623,0.062074736,21015
3488486,-2.8787863,-0.69485843,-0.38809356,21015
1685479,-3.699308,-0.45855984,-0.047646012,21015
5058465,3.7446914,-6.969379,3.0457995,21015
4109928,-0.96585983,1.8278875,-3.3728993,21015
2104613,-0.6978489,-1.6584492,-1.3625798,21015
3035370,3.9948642,5.451303,-2.2188218,21015
