Subject ID,feature value,Dataset
3145799,0.056829628,train
4752483,-0.27266958,train
4378871,0.27020484,train
5777048,-0.07662242,train
3501548,-0.1688338,train
1539165,0.20750743,train
4182467,0.13025385,train
5453865,0.11994075,train
3607116,-0.17661719,train
5056164,0.19705941,train
5730327,0.024685523,train
1894391,0.15590194,train
1116738,0.21825619,train
5759190,0.013693456,train
4654135,0.2387072,train
2028835,0.008434585,train
5643399,-0.21336299,train
2086916,0.010441024,train
3601775,-0.07947136,train
1177505,0.12509437,train
4228864,-0.09033217,train
3625323,0.1874013,train
4227234,0.16960685,train
4971627,0.19480018,train
5505303,0.18468226,train
1582623,-0.06785058,train
1344287,0.079728425,train
2982950,0.15282074,train
2737751,-0.2728979,train
5196984,-0.02065665,train
5656742,0.07010642,train
4711470,0.2058139,train
3927782,0.16234595,train
5547953,0.172858,train
1471509,0.17062873,train
3518628,-0.24412124,train
3266368,0.20604308,train
4197457,-0.2722226,train
2866957,-0.10986962,train
4066839,0.27171975,train
5508346,0.15758125,train
3678761,-0.110017695,train
3831701,0.14842546,train
5314650,0.21722175,train
2537613,0.12945443,train
1221099,-0.008852434,train
5684422,-0.1939311,train
4947971,0.24580985,train
2481199,-0.23901029,train
1261525,-0.19725616,train
2278911,0.19150849,train
2798855,-0.042112883,train
1349180,0.14006548,train
4000807,-0.07344887,train
2104414,-0.2698357,train
4429029,0.14755009,train
3604372,-0.120135464,train
4581626,0.2043788,train
3310830,0.28424013,train
3761755,0.14567585,train
5336137,0.074754424,train
2326389,0.02650775,train
1923204,0.13816085,train
2258254,0.05651109,train
5406184,-0.031006476,train
3554384,-0.26576746,train
1716204,0.072355285,train
1320717,0.26159543,train
2795173,0.01920539,train
1329275,-0.1603198,train
4642850,0.05972898,train
4947291,0.14520977,train
2334637,-0.047233805,train
1596413,0.15664825,train
2071545,0.17288506,train
4756712,0.15369281,train
3308353,0.29011056,train
2181828,-0.1523734,train
5247748,0.1269034,train
3492437,-0.24352176,train
1543174,0.24478273,train
3732986,-0.0019067951,train
3718158,-0.23351236,train
3661745,0.22936939,train
1276472,0.13779263,train
1397755,0.17354555,train
2848565,-0.025634719,train
3927820,0.18733372,train
2149286,0.15573417,train
3012475,0.16574724,train
4878322,-0.08039881,train
4412511,0.20875646,train
3501712,0.19590597,train
4595983,0.2719896,train
4094076,-0.20930485,train
5188412,-0.06836279,train
4508717,0.10710615,train
2034486,-0.15589468,train
2557633,0.2561735,train
4155468,0.12455683,train
4371182,0.24725877,train
1279701,0.24528702,train
