Subject ID,feature value,Dataset
3145799,0.47024018,train
4752483,0.4236597,train
4378871,0.4790831,train
5777048,0.43579203,train
3501548,0.42637214,train
1539165,0.46416244,train
4182467,0.44891876,train
5453865,0.46018204,train
3607116,0.4043712,train
5056164,0.47002605,train
5730327,0.46062365,train
1894391,0.46559575,train
1116738,0.45725265,train
5759190,0.450205,train
4654135,0.46808663,train
2028835,0.4591721,train
5643399,0.4368439,train
2086916,0.45833975,train
3601775,0.4639767,train
1177505,0.46008065,train
4228864,0.44574925,train
3625323,0.4623448,train
4227234,0.47060877,train
4971627,0.47452798,train
5505303,0.4470553,train
1582623,0.44728366,train
1344287,0.4591384,train
2982950,0.46700034,train
2737751,0.48627934,train
5196984,0.4524221,train
5656742,0.4462205,train
4711470,0.47172162,train
3927782,0.46465254,train
5547953,0.46287104,train
1471509,0.46544984,train
3518628,0.41495845,train
3266368,0.46332595,train
4197457,0.44919482,train
2866957,0.44364887,train
4066839,0.46826372,train
5508346,0.47244504,train
3678761,0.46616513,train
3831701,0.47138795,train
5314650,0.46560004,train
2537613,0.46566853,train
1221099,0.4553041,train
5684422,0.4143702,train
4947971,0.4714009,train
2481199,0.36371836,train
1261525,0.4119359,train
2278911,0.44146726,train
2798855,0.4574318,train
1349180,0.46439496,train
4000807,0.4552097,train
2104414,0.3645635,train
4429029,0.47051528,train
3604372,0.46035376,train
4581626,0.47229478,train
3310830,0.46612555,train
3761755,0.4651646,train
5336137,0.46652275,train
2326389,0.4477711,train
1923204,0.4481775,train
2258254,0.47208968,train
5406184,0.45679945,train
3554384,0.36186785,train
1716204,0.4655733,train
1320717,0.47563082,train
2795173,0.45712695,train
1329275,0.42939028,train
4642850,0.44960633,train
4947291,0.46377978,train
2334637,0.45186323,train
1596413,0.46650025,train
2071545,0.47202784,train
4756712,0.45457983,train
3308353,0.47128376,train
2181828,0.42771336,train
5247748,0.46302846,train
3492437,0.390614,train
1543174,0.45865634,train
3732986,0.4650131,train
3718158,0.40026665,train
3661745,0.46106324,train
1276472,0.45852467,train
1397755,0.4636608,train
2848565,0.45297235,train
3927820,0.47325653,train
2149286,0.47585353,train
3012475,0.46820214,train
4878322,0.44442794,train
4412511,0.4717113,train
3501712,0.47296375,train
4595983,0.47039017,train
4094076,0.41865382,train
5188412,0.45205504,train
4508717,0.45918792,train
2034486,0.408083,train
2557633,0.47824913,train
4155468,0.4565049,train
4371182,0.4806681,train
1279701,0.45528933,train
2101602,0.45722777,train
5563856,0.45466322,train
4334989,0.4468092,train
2230093,0.46680132,train
1966223,0.46719113,train
4606851,0.45235428,train
2922368,0.45429423,train
1579824,0.45660347,train
5770382,0.45299143,train
3207145,0.46959502,train
4566845,0.47221464,train
5110893,0.4500193,train
4862914,0.45303342,train
3550247,0.47822756,train
4835779,0.46207014,train
4684836,0.45948026,train
2909080,0.45919457,train
2211599,0.4524919,train
2706068,0.47609654,train
5390033,0.46234688,train
3385218,0.45816913,train
2395497,0.45874783,train
4809991,0.45670268,train
5214458,0.4319776,train
4246423,0.46401867,train
5398595,0.45585188,train
1655554,0.45308596,train
3393824,0.4553456,train
5417751,0.46636006,train
1758288,0.4343029,train
5434806,0.46655503,train
1448576,0.45101634,train
4180787,0.46654615,train
1190486,0.45060438,train
5581637,0.44118193,train
3706202,0.45147267,train
3850841,0.45014963,train
2240128,0.47670704,train
3312261,0.46082494,train
4135696,0.46086654,train
4924061,0.46934223,train
5355448,0.45517066,train
2034943,0.4749073,train
2705818,0.44988683,train
5848671,0.4348555,train
4565530,0.4379054,train
4722166,0.45694175,train
5048675,0.46555755,train
5126377,0.4517468,train
1504860,0.38800654,train
2536873,0.45819378,train
5197729,0.4683819,train
4791268,0.4683546,train
4493383,0.45247254,train
2035063,0.46355814,train
2101706,0.4552048,train
3650636,0.42824894,train
3509955,0.46566814,train
1814222,0.46901885,train
2125163,0.436663,train
3842824,0.43553266,train
4903143,0.4576402,train
4954199,0.47737554,train
1565293,0.46263736,train
3319885,0.4567433,train
5105714,0.41881943,train
2483614,0.45868018,train
1237755,0.46366605,train
4687507,0.4440431,train
4064841,0.44777432,train
2057986,0.45435804,train
4963914,0.36743644,train
2834107,0.44879094,train
1463022,0.48627934,train
1025032,0.45050526,train
1287024,0.4733406,train
4352009,0.47221103,train
1560602,0.46555582,train
2537406,0.45815223,train
3881048,0.4682431,train
2689894,0.4681897,train
2026234,0.4622827,train
2373069,0.45419464,train
1894041,0.47713622,train
5426599,0.43122748,train
5274386,0.47097448,train
2381505,0.45415166,train
3548622,0.46828842,train
2468651,0.44677883,train
4725267,0.45961863,train
5806387,0.4616837,train
5305393,0.44416156,train
5745964,0.47089434,train
2080705,0.4580684,train
2663203,0.46235612,train
4805235,0.46688184,train
1470363,0.40413305,train
2055400,0.48627934,train
2100599,0.47442287,train
3298193,0.47844037,train
4804797,0.46804634,train
5020473,0.43745565,train
4024902,0.45510563,train
3464051,0.46925157,train
4906926,0.47334006,train
1143268,0.35887414,train
2158462,0.45611438,train
3318105,0.4530211,train
4636078,0.47061247,train
1311265,0.48627934,train
4910568,0.46268758,train
2160352,0.46243662,train
2789163,0.46285376,train
1456455,0.42431512,train
5265958,0.4576369,train
5425589,0.4547997,train
1428748,0.4396529,train
1357292,0.4827617,train
3470383,0.4660425,train
4731073,0.45315394,train
3769104,0.47183126,train
5270900,0.4674149,train
5041633,0.4413604,train
4538497,0.4706302,train
4854852,0.46479264,train
2190624,0.45271602,train
3742334,0.44188985,train
5074627,0.45409355,train
1716538,0.46734375,train
1792055,0.45557258,train
5132386,0.4566746,train
5290400,0.44899315,train
1195018,0.46167615,train
3795809,0.46676263,train
5135196,0.45925194,train
3533672,0.4759911,train
1948300,0.46451965,train
1030583,0.46717933,train
5863654,0.44073007,train
3464556,0.449019,train
5354877,0.4743375,train
2251175,0.48627934,train
3157345,0.46527252,train
5193181,0.4624947,train
4403038,0.45652765,train
1065631,0.4717021,train
3178705,0.4118522,train
1518568,0.46695223,train
3145893,0.45826095,train
2568738,0.45311943,train
5614072,0.4503183,train
1050619,0.39042524,train
5547658,0.44113165,train
3338873,0.46872506,train
1618442,0.4695601,train
5752359,0.4651545,train
2010914,0.45482925,train
4921342,0.44968972,train
5004754,0.422998,train
5130960,0.47113594,train
4875913,0.47605738,train
5225121,0.38328224,train
5175861,0.40575972,train
5153046,0.4174977,train
4549708,0.44657597,train
1205045,0.47724956,train
3085289,0.46552047,train
3307424,0.465889,train
2067036,0.47092205,train
3322877,0.42875573,train
5278087,0.43184742,train
5081075,0.39498612,train
2138621,0.45965618,train
4575148,0.4006992,train
3763035,0.38839278,train
5359813,0.44611356,train
2364028,0.4561948,train
3908378,0.46102613,train
4212048,0.4729084,train
1365780,0.47539422,train
3813987,0.47018537,train
1486210,0.46027663,train
2339875,0.4681607,train
1637298,0.47220466,train
2216966,0.4502687,train
1140298,0.4600229,train
1152858,0.46962246,train
4747506,0.44168267,train
3558067,0.4704604,train
4445294,0.46607965,train
5256907,0.46611294,train
3909512,0.46906742,train
5810707,0.42706105,train
4959025,0.45628366,train
4977413,0.460691,train
4578448,0.46514258,train
3888475,0.45792213,train
2198901,0.40936586,train
3246635,0.45574,train
3559919,0.4701347,train
5762697,0.43715206,train
4738562,0.4563256,train
4161662,0.45670363,train
5567321,0.38610682,train
3994754,0.48627934,train
4953353,0.4723185,train
5196115,0.4743709,train
5068512,0.47077927,train
1898841,0.4565153,train
4720575,0.46510592,train
3537362,0.41630587,train
1068243,0.46636912,train
2260757,0.45508292,train
3504904,0.44525772,train
4288481,0.4665442,train
4600793,0.4613052,train
3595474,0.45519012,train
2775613,0.4717489,train
3793348,0.46321878,train
3048873,0.46904275,train
1994333,0.45589623,train
3556530,0.48627934,train
2561771,0.4673734,train
1201319,0.46322235,train
1968499,0.44431195,train
3208667,0.47620377,train
5277068,0.47876257,train
1494081,0.46793517,train
1571610,0.44170013,train
5688154,0.36497074,train
2028056,0.46490377,train
5099287,0.47162968,train
5239896,0.4668545,train
4083335,0.46754974,train
2280246,0.46603733,train
2901118,0.46439758,train
5298347,0.46835503,train
5822217,0.45483622,train
2231423,0.4524407,train
1697563,0.36973348,train
1763872,0.46325222,train
2506709,0.47283158,train
5823483,0.45722732,train
2389927,0.45944157,train
1486340,0.4359717,train
5066985,0.46472737,train
4621243,0.46344152,train
3660036,0.46439272,train
1451213,0.45261285,train
4417349,0.462924,train
2245394,0.41141418,train
1308420,0.45647344,train
2616039,0.46011814,train
3105655,0.46360525,train
4626269,0.4773284,train
4490301,0.3796002,train
3013120,0.46504736,train
1724486,0.46255544,train
5071644,0.45885196,train
1570314,0.48627934,train
1968047,0.40516433,train
3600931,0.46795803,train
3972433,0.46860608,train
3548058,0.45508292,train
3167040,0.45276877,train
5018638,0.46975884,train
2310673,0.47846875,train
4908030,0.41473475,train
2921216,0.46687794,train
1833087,0.45929858,train
5512873,0.47208115,train
1820838,0.44658127,train
2913832,0.46314415,train
1704221,0.4383565,train
3644163,0.4675075,train
5259485,0.45616108,train
5447706,0.39109597,train
4560796,0.46636185,train
3844995,0.46184692,train
3758944,0.47585243,train
2616271,0.43466964,train
1601108,0.45998964,train
4931322,0.45114845,train
3333724,0.4724129,train
4792964,0.4223586,train
4523069,0.47422972,train
5410279,0.4647855,train
3150794,0.45108733,train
1636846,0.47867396,train
