Patient ID,Feature 0, Dataset
3145799,0.47423998,train
4752483,0.4129833,train
4378871,0.46974498,train
5777048,0.43326312,train
3501548,0.42649642,train
1539165,0.4663375,train
4182467,0.45579925,train
5453865,0.45946848,train
3607116,0.40230224,train
5056164,0.46531993,train
5730327,0.45742264,train
1894391,0.46588054,train
1116738,0.47121838,train
5759190,0.45184407,train
4654135,0.46030843,train
2028835,0.46253955,train
5643399,0.4473417,train
2086916,0.452677,train
3601775,0.4685871,train
1177505,0.4589519,train
4228864,0.43472183,train
3625323,0.46204886,train
4227234,0.4640784,train
4971627,0.47338662,train
5505303,0.4548591,train
1582623,0.4388359,train
1344287,0.45993853,train
2982950,0.47501475,train
2737751,0.48627925,train
5196984,0.45065567,train
5656742,0.46099427,train
4711470,0.47111595,train
3927782,0.45714897,train
5547953,0.46635833,train
1471509,0.4650619,train
3518628,0.4177314,train
3266368,0.4656437,train
4197457,0.44860625,train
2866957,0.44774675,train
4066839,0.48614386,train
5508346,0.4589226,train
3678761,0.46726122,train
3831701,0.46925342,train
5314650,0.46417958,train
2537613,0.46168473,train
1221099,0.45496216,train
5684422,0.39683342,train
4947971,0.4689024,train
2481199,0.36766,train
1261525,0.41961524,train
2278911,0.44761023,train
2798855,0.4551578,train
1349180,0.46300095,train
4000807,0.4541401,train
2104414,0.3706195,train
4429029,0.4679887,train
3604372,0.45475328,train
4581626,0.4679765,train
3310830,0.4711124,train
3761755,0.46177328,train
5336137,0.45971355,train
2326389,0.4483107,train
1923204,0.45453858,train
2258254,0.47369304,train
5406184,0.4553663,train
3554384,0.35761073,train
1716204,0.46893173,train
1320717,0.46728283,train
2795173,0.44695556,train
1329275,0.43463033,train
4642850,0.45120227,train
4947291,0.4574322,train
2334637,0.4557747,train
1596413,0.46236467,train
2071545,0.46705428,train
4756712,0.4667778,train
3308353,0.47848502,train
2181828,0.4259947,train
5247748,0.4664031,train
3492437,0.37922788,train
1543174,0.45019576,train
3732986,0.4654637,train
3718158,0.37085834,train
3661745,0.46655256,train
1276472,0.45944068,train
1397755,0.45778573,train
2848565,0.4512598,train
3927820,0.46048677,train
2149286,0.4044246,train
3012475,0.47819638,train
4878322,0.45162505,train
4412511,0.46516255,train
3501712,0.4766928,train
4595983,0.4728037,train
4094076,0.42191166,train
5188412,0.45600575,train
4508717,0.44980222,train
2034486,0.41207823,train
2557633,0.46870035,train
4155468,0.46592885,train
4371182,0.46851903,train
1279701,0.47792965,train
2101602,0.46597886,train
5563856,0.45811588,train
4334989,0.4455965,train
2230093,0.4669145,train
1966223,0.46698558,train
4606851,0.45352423,train
2922368,0.45538464,train
1579824,0.4561617,train
5770382,0.46717888,train
3207145,0.47471616,train
4566845,0.47691482,train
5110893,0.4466256,train
4862914,0.45619535,train
3550247,0.47817278,train
4835779,0.46940616,train
4684836,0.45561835,train
2909080,0.45711568,train
2211599,0.45282793,train
2706068,0.46793073,train
5390033,0.4612238,train
3385218,0.458486,train
2395497,0.46407983,train
4809991,0.45723647,train
5214458,0.43324882,train
4246423,0.46681178,train
5398595,0.46505177,train
1655554,0.4473836,train
3393824,0.45070565,train
5417751,0.46509337,train
1758288,0.42564726,train
5434806,0.46514937,train
1448576,0.4612751,train
4180787,0.4707116,train
1190486,0.45220515,train
5581637,0.42539382,train
3706202,0.45058635,train
3850841,0.44661364,train
2240128,0.46768394,train
3312261,0.46942797,train
4135696,0.46021202,train
4924061,0.4680572,train
5355448,0.45969632,train
2034943,0.4787634,train
2705818,0.4535018,train
5848671,0.4367471,train
4565530,0.4448422,train
4722166,0.45694184,train
5048675,0.46882537,train
5126377,0.4434308,train
1504860,0.39042258,train
2536873,0.46369323,train
5197729,0.45981982,train
4791268,0.46968666,train
4493383,0.45047548,train
2035063,0.4673979,train
2101706,0.4521137,train
3650636,0.42890695,train
3509955,0.46327803,train
1814222,0.46722358,train
2125163,0.4358007,train
3842824,0.42347312,train
4903143,0.46196976,train
4954199,0.4718756,train
1565293,0.453922,train
3319885,0.4588874,train
5105714,0.41874674,train
2483614,0.45531243,train
1237755,0.46737662,train
4687507,0.4423462,train
4064841,0.4473735,train
2057986,0.44546348,train
4963914,0.37041467,train
2834107,0.45206365,train
1463022,0.48627925,train
1025032,0.45063347,train
1287024,0.4709538,train
4352009,0.4627003,train
1560602,0.46641877,train
2537406,0.44483346,train
3881048,0.46664223,train
2689894,0.46072423,train
2026234,0.468879,train
2373069,0.44073,train
1894041,0.4670492,train
5426599,0.43288496,train
5274386,0.4661413,train
2381505,0.452066,train
3548622,0.4671327,train
2468651,0.44998214,train
4725267,0.4577874,train
5806387,0.46100506,train
5305393,0.4425636,train
5745964,0.47927117,train
2080705,0.4581515,train
2663203,0.46341842,train
4805235,0.46537688,train
1470363,0.40413308,train
2055400,0.48627925,train
2100599,0.47626355,train
3298193,0.4787045,train
4804797,0.47042748,train
5020473,0.43657082,train
4024902,0.45632195,train
3464051,0.47127113,train
4906926,0.4634049,train
1143268,0.355733,train
2158462,0.45605937,train
3318105,0.45118418,train
4636078,0.47618818,train
1311265,0.48627925,train
4910568,0.45832616,train
2160352,0.46521196,train
2789163,0.47543615,train
1456455,0.4250284,train
5265958,0.45335445,train
5425589,0.44875818,train
1428748,0.44786647,train
1357292,0.4753401,train
3470383,0.4619339,train
4731073,0.45195493,train
3769104,0.46285397,train
5270900,0.46717283,train
5041633,0.43985385,train
4538497,0.46509144,train
4854852,0.46573696,train
2190624,0.4507247,train
3742334,0.43007025,train
5074627,0.45608926,train
1716538,0.46190667,train
1792055,0.45499188,train
5132386,0.45929533,train
5290400,0.46130434,train
1195018,0.45882666,train
3795809,0.46927762,train
5135196,0.46258384,train
3533672,0.469916,train
1948300,0.47374395,train
1030583,0.4726381,train
5863654,0.43805918,train
3464556,0.43598676,train
5354877,0.45924285,train
2251175,0.48627925,train
3157345,0.46728605,train
5193181,0.4599991,train
4403038,0.45623428,train
1065631,0.46668327,train
