Subject ID,pca1,pca2,pca3,Dataset
4020673,2.1331515,1.7677437,-2.130964,21015
5083845,3.019984,2.0940297,-1.1570334,21015
5982005,-3.5000086,-1.0030779,-0.17938843,21015
4845817,1.4825577,3.9417834,-2.1468363,21015
2558236,-1.2446579,3.7242413,2.485209,21015
4579274,-3.5000086,-1.0030779,-0.17938843,21015
5599616,3.5071385,-0.056462787,0.72152066,21015
1398279,2.5642467,3.9170885,-5.1348333,21015
5972919,-2.802703,-0.68096745,-0.07303768,21015
5117869,-0.99948496,-1.3214892,-0.03556065,21015
3798293,-0.084165365,1.1232495,-0.7235843,21015
5956314,1.2166067,-0.85546905,0.83498806,21015
1918336,-3.156302,2.3345225,-0.11626451,21015
2539916,2.6934743,1.6654898,-1.6441953,21015
1895187,-0.78358674,1.8815204,-0.42708176,21015
5817327,1.4432318,3.577496,4.1776943,21015
1158953,-3.5000086,-1.0030779,-0.17938843,21015
2626224,-1.8046641,-1.8086768,-1.2718815,21015
4842060,-0.6379454,1.1743038,-1.4203637,21015
3934902,-3.4242518,-0.97245175,-0.10462018,21015
1127899,-2.9913287,-0.84390295,1.1442099,21015
2194513,-2.5979958,-0.042789705,-0.41059527,21015
4959598,-3.6269267,-0.9141189,-0.11898054,21015
4392428,0.030060563,4.111363,1.8357875,21015
6012470,-1.1770157,-1.1952823,-0.55170625,21015
1515564,5.017612,5.0373983,-4.108889,21015
3060655,2.4272487,3.4276128,-4.1793194,21015
3006714,0.4689453,4.282797,0.41987297,21015
5223688,-0.784882,3.1073303,-1.8800057,21015
5002357,0.4037952,-3.5464506,-0.3515483,21015
2656324,-1.7970089,-2.332502,-1.2239765,21015
4133634,-3.465445,-0.9906197,-0.14134885,21015
5100624,-3.5000086,-1.0030779,-0.17938843,21015
1934186,4.166797,2.3421462,-2.316188,21015
1476423,0.059887342,2.5295231,-0.020722037,21015
3011992,-2.0028985,-1.0080156,1.5737365,21015
4030049,3.4592185,3.7720296,-1.5260394,21015
4462853,-3.4357545,-0.9973566,0.086077236,21015
4188008,0.71847343,2.7487125,0.17710781,21015
4757875,-1.6863638,1.2698969,2.6356306,21015
1847924,3.3887198,7.199836,-1.0444479,21015
3674930,-1.1547902,0.12433399,1.820436,21015
3753540,0.5118948,0.8768486,-1.3364347,21015
1925994,-3.6002889,1.2142464,0.21286985,21015
6013885,2.3991945,-1.8962691,-0.9889776,21015
3054850,4.2079115,-2.3816755,-0.37336406,21015
2640157,-3.0567594,-1.0832655,0.29428083,21015
3771936,5.1450253,0.12137591,0.64905924,21015
2693733,-1.3772919,4.0519204,0.4418477,21015
4064976,-1.8011111,-1.6185548,0.46918622,21015
1515889,7.8527274,-2.1750445,0.9327072,21015
1461748,-1.5515696,-1.6302291,0.08121522,21015
3488486,-2.8785174,-0.696888,-0.40308738,21015
1685479,-3.6988697,-0.46005633,-0.04578401,21015
5058465,3.7451541,-6.9676995,3.0544312,21015
4109928,-0.9656046,1.82906,-3.3589106,21015
2104613,-0.69803023,-1.6628153,-1.3672073,21015
3035370,3.9945133,5.463661,-2.1739817,21015
3369216,2.6307883,4.5220013,-1.8283616,21015
1442830,2.0693038,3.025849,-5.930793e-06,21015
4652857,2.755021,-2.9205165,-0.8352778,21015
2202063,-3.501796,-0.9877365,-0.19051915,21015
3009825,3.2429054,-0.5441945,-0.41061193,21015
2076076,-3.647739,-0.7674411,-0.18207324,21015
5795253,-2.6465867,-1.1111804,1.8862542,21015
3389224,-1.1926851,2.281762,-1.1788534,21015
5041633,2.798951,0.9117242,-2.0682626,21015
3829878,3.2523062,-3.3218808,-0.07071797,21015
3693175,2.3750172,-0.76119053,-1.9122711,21015
1865760,-3.3235505,-0.6510532,-0.066672824,21015
2096299,-3.5440252,-0.7748268,0.02336032,21015
1141435,-3.5000086,-1.0030779,-0.17938843,21015
3991839,4.544845,-1.4506825,3.10511,21015
4607289,0.76382476,1.6961633,3.0142553,21015
4871906,-1.0551174,-0.7728241,-0.482408,21015
5190524,-0.03459141,-4.033643,0.22106722,21015
4031363,-3.438223,-0.9269485,-0.20738122,21015
3893048,-3.250026,-0.9168329,0.2014106,21015
4458784,-1.8364152,-2.6085072,-0.8376734,21015
4207538,-2.7503645,0.667702,1.3825737,21015
3969451,3.0224767,1.9517909,-0.3805656,21015
5277068,4.0719213,3.3168235,1.2844902,21015
1564891,1.9510686,-5.3213396,0.6566174,21015
3486856,-3.5000086,-1.0030779,-0.17938843,21015
1163757,-2.3316925,0.5842952,-0.40650508,21015
5714488,4.871564,4.4237733,3.0913386,21015
4680229,-3.7721882,-1.2023546,-0.07962132,21015
